,chunk_size,overlap,number_of_chunks,mean_iou,std_iou,mean_precision,std_precision,mean_recall,std_recall
0,200,0,1,0.13,0.128,0.133,0.13,0.62,0.451
1,200,0,2,0.09,0.071,0.09,0.071,0.842,0.327
2,200,0,5,0.038,0.027,0.038,0.027,0.914,0.245
3,200,0,10,0.02,0.013,0.02,0.013,0.98,0.12
4,200,125,1,0.138,0.114,0.142,0.119,0.722,0.408
5,200,125,2,0.083,0.067,0.083,0.067,0.826,0.359
6,200,125,5,0.039,0.027,0.039,0.027,0.961,0.172
7,200,125,10,0.02,0.013,0.02,0.013,1.0,0.0
8,250,0,1,0.096,0.098,0.098,0.099,0.61,0.465
9,250,0,2,0.07,0.056,0.07,0.056,0.837,0.351
10,250,0,5,0.031,0.021,0.031,0.021,0.95,0.199
11,250,0,10,0.016,0.01,0.016,0.01,0.991,0.045
12,250,125,1,0.128,0.1,0.13,0.104,0.799,0.384
13,250,125,2,0.071,0.053,0.071,0.053,0.86,0.333
14,250,125,5,0.031,0.021,0.031,0.021,0.956,0.198
15,250,125,10,0.016,0.01,0.016,0.01,1.0,0.0
16,250,200,1,0.125,0.101,0.126,0.104,0.788,0.387
17,250,200,2,0.069,0.056,0.069,0.057,0.848,0.342
18,250,200,5,0.031,0.022,0.031,0.022,0.933,0.237
19,250,200,10,0.016,0.011,0.016,0.011,0.987,0.114
20,400,0,1,0.055,0.069,0.056,0.069,0.545,0.488
21,400,0,2,0.039,0.039,0.039,0.039,0.702,0.448
22,400,0,5,0.018,0.015,0.018,0.015,0.822,0.378
23,400,0,10,0.01,0.007,0.01,0.007,0.934,0.234
24,400,125,1,0.07,0.064,0.07,0.064,0.726,0.419
25,400,125,2,0.043,0.033,0.044,0.033,0.875,0.303
26,400,125,5,0.02,0.013,0.02,0.013,0.949,0.192
27,400,125,10,0.01,0.006,0.01,0.006,0.968,0.142
28,400,200,1,0.078,0.07,0.079,0.07,0.781,0.4
29,400,200,2,0.047,0.035,0.047,0.035,0.918,0.251
30,400,200,5,0.02,0.013,0.02,0.013,1.0,0.0
31,400,200,10,0.01,0.006,0.01,0.006,1.0,0.0
32,800,0,1,0.028,0.041,0.028,0.041,0.469,0.493
33,800,0,2,0.018,0.02,0.018,0.02,0.637,0.476
34,800,0,5,0.008,0.008,0.008,0.008,0.769,0.416
35,800,0,10,0.005,0.003,0.005,0.003,0.934,0.248
36,800,125,1,0.027,0.031,0.027,0.032,0.508,0.49
37,800,125,2,0.016,0.016,0.016,0.016,0.613,0.477
38,800,125,5,0.007,0.006,0.007,0.006,0.716,0.442
39,800,125,10,0.005,0.004,0.005,0.004,0.852,0.351
40,800,200,1,0.024,0.031,0.025,0.031,0.528,0.483
41,800,200,2,0.016,0.017,0.016,0.017,0.67,0.455
42,800,200,5,0.008,0.007,0.008,0.007,0.788,0.391
43,800,200,10,0.005,0.004,0.005,0.004,0.893,0.297
44,800,400,1,0.031,0.035,0.031,0.035,0.608,0.478
45,800,400,2,0.021,0.019,0.021,0.019,0.778,0.407
46,800,400,5,0.009,0.008,0.009,0.008,0.822,0.378
47,800,400,10,0.005,0.003,0.005,0.003,0.94,0.23
